Quantifier,Quadapt_Variant,MoSS_Test_Variant,MoSS_Train_Variant,MAE,m_test,m_train,alpha,Iteration
DyS,MoSS,MoSS_Dir,MoSS_Dir,0.011737089957207791,0.1,0.1,0.25,1
HDy,MoSS,MoSS_Dir,MoSS_Dir,0.024999999999999994,0.1,0.1,0.25,1
SORD,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
SMM,MoSS,MoSS_Dir,MoSS_Dir,0.006898449335480145,0.1,0.1,0.25,1
ACC,MoSS,MoSS_Dir,MoSS_Dir,0.0015030060120240496,0.1,0.1,0.25,1
X_method,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
T50,MoSS,MoSS_Dir,MoSS_Dir,0.2730125523012552,0.1,0.1,0.25,1
MAX,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
MS,MoSS,MoSS_Dir,MoSS_Dir,0.0005010020040079888,0.1,0.1,0.25,1
MS2,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
CC,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
DyS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.032876298775056156,0.1,0.1,0.25,1
HDy,MoSS_MN,MoSS_Dir,MoSS_Dir,0.07,0.1,0.1,0.25,1
SORD,MoSS_MN,MoSS_Dir,MoSS_Dir,0.03,0.1,0.1,0.25,1
SMM,MoSS_MN,MoSS_Dir,MoSS_Dir,0.11611763261908284,0.1,0.1,0.25,1
ACC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.02232142857142852,0.1,0.1,0.25,1
X_method,MoSS_MN,MoSS_Dir,MoSS_Dir,0.033908045977011525,0.1,0.1,0.25,1
T50,MoSS_MN,MoSS_Dir,MoSS_Dir,0.24593495934959347,0.1,0.1,0.25,1
MAX,MoSS_MN,MoSS_Dir,MoSS_Dir,0.01255707762557079,0.1,0.1,0.25,1
MS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.01233183856502243,0.1,0.1,0.25,1
MS2,MoSS_MN,MoSS_Dir,MoSS_Dir,0.03713968957871394,0.1,0.1,0.25,1
CC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
DyS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0017292122411667887,0.1,0.1,0.25,1
HDy,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.01999999999999999,0.1,0.1,0.25,1
SORD,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,1
SMM,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010800693024417496,0.1,0.1,0.25,1
ACC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
X_method,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
T50,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.27742616033755274,0.1,0.1,0.25,1
MAX,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
MS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,1
MS2,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
CC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
DyS,None,MoSS_Dir,MoSS_Dir,0.0004450351663501384,0.1,0.1,0.25,1
HDy,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,1
SORD,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,1
SMM,None,MoSS_Dir,MoSS_Dir,0.010932746783425984,0.1,0.1,0.25,1
ACC,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,1
X_method,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,1
T50,None,MoSS_Dir,MoSS_Dir,0.2560728744939271,0.1,0.1,0.25,1
MAX,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,1
MS,None,MoSS_Dir,MoSS_Dir,0.0005030181086519148,0.1,0.1,0.25,1
MS2,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,1
CC,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,1
DyS,MoSS,MoSS_Dir,MoSS_Dir,0.0055642504510350355,0.1,0.1,0.25,2
HDy,MoSS,MoSS_Dir,MoSS_Dir,0.0050000000000000044,0.1,0.1,0.25,2
SORD,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
SMM,MoSS,MoSS_Dir,MoSS_Dir,0.025281624098664385,0.1,0.1,0.25,2
ACC,MoSS,MoSS_Dir,MoSS_Dir,0.003012048192771094,0.1,0.1,0.25,2
X_method,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
T50,MoSS,MoSS_Dir,MoSS_Dir,0.24800796812749004,0.1,0.1,0.25,2
MAX,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
MS,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
MS2,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
CC,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
DyS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.00561688157696183,0.1,0.1,0.25,2
HDy,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,2
SORD,MoSS_MN,MoSS_Dir,MoSS_Dir,0.01999999999999999,0.1,0.1,0.25,2
SMM,MoSS_MN,MoSS_Dir,MoSS_Dir,0.16887145674101614,0.1,0.1,0.25,2
ACC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.04147982062780267,0.1,0.1,0.25,2
