Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
DyS,MoSS,MoSS_Dir,0.0,0.8037427535280862,0.1,0.1
DyS,MoSS,MoSS_Dir,0.0,0.6014462330154604,0.1,0.2
DyS,MoSS,MoSS_Dir,0.0,0.19930599204303412,0.1,0.4
DyS,MoSS,MoSS_Dir,0.0,0.19707255311926047,0.1,0.6
DyS,MoSS,MoSS_Dir,0.0,0.6012930841609215,0.1,0.8
DyS,MoSS,MoSS_Dir,0.0,0.9999554476059523,0.1,1.0
DyS,MoSS,MoSS_Dir,0.0,0.8038344688080205,0.25,0.1
DyS,MoSS,MoSS_Dir,0.0,0.7209213826348417,0.25,0.2
DyS,MoSS,MoSS_Dir,0.0,0.21255299406207295,0.25,0.4
DyS,MoSS,MoSS_Dir,0.25,0.18817431438930005,0.25,0.6
DyS,MoSS,MoSS_Dir,0.75,0.5888565847927463,0.25,0.8
DyS,MoSS,MoSS_Dir,0.0,0.9947957669785048,0.25,1.0
DyS,MoSS,MoSS_Dir,0.5,0.8331094386394998,0.5,0.1
DyS,MoSS,MoSS_Dir,0.5,0.5765187736154282,0.5,0.2
DyS,MoSS,MoSS_Dir,0.25,0.417968147862401,0.5,0.4
DyS,MoSS,MoSS_Dir,0.0,0.21764385457869845,0.5,0.6
DyS,MoSS,MoSS_Dir,0.0,0.6017529875606098,0.5,0.8
DyS,MoSS,MoSS_Dir,0.0,0.9999554476059523,0.5,1.0
DyS,MoSS,MoSS_Dir,0.0,0.5890410378664194,0.75,0.1
DyS,MoSS,MoSS_Dir,0.0,0.5616876646450613,0.75,0.2
DyS,MoSS,MoSS_Dir,0.0,0.04572746513171022,0.75,0.4
DyS,MoSS,MoSS_Dir,0.25,0.1793957158939306,0.75,0.6
DyS,MoSS,MoSS_Dir,0.25,0.42171481462886085,0.75,0.8
DyS,MoSS,MoSS_Dir,0.0,0.7409433581075819,0.75,1.0
DyS,MoSS,MoSS_Dir,0.0,0.426676301807431,1.0,0.1
DyS,MoSS,MoSS_Dir,0.5,0.3609434930813547,1.0,0.2
DyS,MoSS,MoSS_Dir,0.25,0.044056409129988705,1.0,0.4
DyS,MoSS,MoSS_Dir,0.5,0.08713385740112045,1.0,0.6
DyS,MoSS,MoSS_Dir,0.0,0.052383009922176815,1.0,0.8
DyS,MoSS,MoSS_Dir,0.5,0.7077386045083391,1.0,1.0
HDy,MoSS,MoSS_Dir,0.0,0.805,0.1,0.1
HDy,MoSS,MoSS_Dir,0.0,0.6100000000000001,0.1,0.2
HDy,MoSS,MoSS_Dir,0.0,0.18999999999999995,0.1,0.4
HDy,MoSS,MoSS_Dir,0.0,0.19999999999999996,0.1,0.6
HDy,MoSS,MoSS_Dir,0.0,0.6000000000000001,0.1,0.8
HDy,MoSS,MoSS_Dir,0.0,1.0,0.1,1.0
HDy,MoSS,MoSS_Dir,0.25,0.8,0.25,0.1
HDy,MoSS,MoSS_Dir,0.0,0.575,0.25,0.2
HDy,MoSS,MoSS_Dir,0.0,0.19999999999999996,0.25,0.4
HDy,MoSS,MoSS_Dir,0.0,0.18,0.25,0.6
HDy,MoSS,MoSS_Dir,0.75,0.6000000000000001,0.25,0.8
HDy,MoSS,MoSS_Dir,0.25,0.98,0.25,1.0
HDy,MoSS,MoSS_Dir,0.5,0.865,0.5,0.1
HDy,MoSS,MoSS_Dir,0.5,0.5900000000000001,0.5,0.2
HDy,MoSS,MoSS_Dir,0.5,0.11499999999999999,0.5,0.4
HDy,MoSS,MoSS_Dir,0.5,0.21999999999999997,0.5,0.6
HDy,MoSS,MoSS_Dir,0.5,0.6000000000000001,0.5,0.8
HDy,MoSS,MoSS_Dir,0.5,1.0,0.5,1.0
HDy,MoSS,MoSS_Dir,0.0,0.54,0.75,0.1
HDy,MoSS,MoSS_Dir,0.0,0.38999999999999996,0.75,0.2
HDy,MoSS,MoSS_Dir,0.0,0.10999999999999999,0.75,0.4
HDy,MoSS,MoSS_Dir,0.25,0.18499999999999994,0.75,0.6
HDy,MoSS,MoSS_Dir,0.25,0.465,0.75,0.8
HDy,MoSS,MoSS_Dir,0.25,0.8,0.75,1.0
HDy,MoSS,MoSS_Dir,0.0,0.37,1.0,0.1
HDy,MoSS,MoSS_Dir,0.5,0.36000000000000004,1.0,0.2
HDy,MoSS,MoSS_Dir,0.0,0.09999999999999998,1.0,0.4
HDy,MoSS,MoSS_Dir,0.5,0.09999999999999998,1.0,0.6
HDy,MoSS,MoSS_Dir,0.25,0.20000000000000007,1.0,0.8
HDy,MoSS,MoSS_Dir,0.25,0.42500000000000004,1.0,1.0
SORD,MoSS,MoSS_Dir,0.0,0.8,0.1,0.1
SORD,MoSS,MoSS_Dir,0.0,0.6000000000000001,0.1,0.2
SORD,MoSS,MoSS_Dir,0.0,0.19999999999999996,0.1,0.4
SORD,MoSS,MoSS_Dir,0.0,0.19999999999999996,0.1,0.6
SORD,MoSS,MoSS_Dir,0.0,0.6000000000000001,0.1,0.8
SORD,MoSS,MoSS_Dir,0.0,1.0,0.1,1.0
SORD,MoSS,MoSS_Dir,0.0,0.76,0.25,0.1
SORD,MoSS,MoSS_Dir,0.0,0.5700000000000001,0.25,0.2
SORD,MoSS,MoSS_Dir,0.0,0.18999999999999995,0.25,0.4
SORD,MoSS,MoSS_Dir,0.0,0.18999999999999995,0.25,0.6
SORD,MoSS,MoSS_Dir,0.0,0.5700000000000001,0.25,0.8
SORD,MoSS,MoSS_Dir,0.0,0.95,0.25,1.0
SORD,MoSS,MoSS_Dir,0.25,0.9,0.5,0.1
SORD,MoSS,MoSS_Dir,0.5,0.6000000000000001,0.5,0.2
SORD,MoSS,MoSS_Dir,0.5,0.30000000000000004,0.5,0.4
SORD,MoSS,MoSS_Dir,0.5,0.3500000000000001,0.5,0.6
SORD,MoSS,MoSS_Dir,0.5,0.6200000000000001,0.5,0.8
SORD,MoSS,MoSS_Dir,0.5,1.0,0.5,1.0
SORD,MoSS,MoSS_Dir,0.25,0.54,0.75,0.1
SORD,MoSS,MoSS_Dir,0.25,0.8,0.75,0.2
SORD,MoSS,MoSS_Dir,0.0,0.12,0.75,0.4
SORD,MoSS,MoSS_Dir,0.0,0.44999999999999996,0.75,0.6
SORD,MoSS,MoSS_Dir,0.0,0.8,0.75,0.8
