Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
DyS,MoSS_Dir,MoSS_Dir,0.0,0.0006760751884389848,0.1,0.1
DyS,MoSS_Dir,MoSS_Dir,0.0,0.000581763947131525,0.1,0.2
DyS,MoSS_Dir,MoSS_Dir,0.0,0.00023875503672865506,0.1,0.4
DyS,MoSS_Dir,MoSS_Dir,0.0,0.00034755862144919547,0.1,0.6
DyS,MoSS_Dir,MoSS_Dir,0.0,0.002274378326434734,0.1,0.8
DyS,MoSS_Dir,MoSS_Dir,0.0,4.455239404765887e-05,0.1,1.0
DyS,MoSS_Dir,MoSS_Dir,0.0,0.002405448730813664,0.25,0.1
DyS,MoSS_Dir,MoSS_Dir,0.0,0.003124570024240575,0.25,0.2
DyS,MoSS_Dir,MoSS_Dir,0.0,0.0042328630316122995,0.25,0.4
DyS,MoSS_Dir,MoSS_Dir,0.0,0.00128977397651997,0.25,0.6
DyS,MoSS_Dir,MoSS_Dir,0.0,0.0033916069980494123,0.25,0.8
DyS,MoSS_Dir,MoSS_Dir,0.0,4.455239404765887e-05,0.25,1.0
DyS,MoSS_Dir,MoSS_Dir,0.0,0.03125642712800138,0.5,0.1
DyS,MoSS_Dir,MoSS_Dir,0.0,0.19995544760595235,0.5,0.2
DyS,MoSS_Dir,MoSS_Dir,0.0,0.17978384627480104,0.5,0.4
DyS,MoSS_Dir,MoSS_Dir,0.5,0.12656016117935964,0.5,0.6
DyS,MoSS_Dir,MoSS_Dir,0.0,0.05589302104730687,0.5,0.8
DyS,MoSS_Dir,MoSS_Dir,0.0,0.058722952016812435,0.5,1.0
DyS,MoSS_Dir,MoSS_Dir,0.0,0.13145372678286193,0.75,0.1
DyS,MoSS_Dir,MoSS_Dir,0.0,0.07944154116934099,0.75,0.2
DyS,MoSS_Dir,MoSS_Dir,0.25,0.28293850917431485,0.75,0.4
DyS,MoSS_Dir,MoSS_Dir,0.0,0.06590748895271559,0.75,0.6
DyS,MoSS_Dir,MoSS_Dir,0.0,0.18104621180582847,0.75,0.8
DyS,MoSS_Dir,MoSS_Dir,0.0,0.1010213075150419,0.75,1.0
DyS,MoSS_Dir,MoSS_Dir,0.25,0.5212366386249426,1.0,0.1
DyS,MoSS_Dir,MoSS_Dir,0.5,0.3157248636056538,1.0,0.2
DyS,MoSS_Dir,MoSS_Dir,0.5,0.10725669792063419,1.0,0.4
DyS,MoSS_Dir,MoSS_Dir,0.0,0.1771032465318355,1.0,0.6
DyS,MoSS_Dir,MoSS_Dir,0.5,0.2113290668680985,1.0,0.8
DyS,MoSS_Dir,MoSS_Dir,0.0,0.44109644428233974,1.0,1.0
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.1,0.1
HDy,MoSS_Dir,MoSS_Dir,0.0,0.010000000000000009,0.1,0.2
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0030150753768844463,0.1,0.4
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.1,0.6
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.1,0.8
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.1,1.0
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.25,0.1
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0009950248756219193,0.25,0.2
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0029850746268657025,0.25,0.4
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.25,0.6
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.25,0.8
HDy,MoSS_Dir,MoSS_Dir,0.0,0.0,0.25,1.0
HDy,MoSS_Dir,MoSS_Dir,0.5,0.07289719626168223,0.5,0.1
HDy,MoSS_Dir,MoSS_Dir,0.25,0.02959183673469387,0.5,0.2
HDy,MoSS_Dir,MoSS_Dir,0.5,0.05306122448979589,0.5,0.4
HDy,MoSS_Dir,MoSS_Dir,0.5,0.021052631578947323,0.5,0.6
