Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
DyS,MoSS_MN,MoSS_Dir,0.9,0.09995544760595235,0.1,0.1
DyS,MoSS_MN,MoSS_Dir,0.9,0.19504054409658308,0.1,0.2
DyS,MoSS_MN,MoSS_Dir,0.4,0.06411948982403354,0.1,0.4
DyS,MoSS_MN,MoSS_Dir,0.9,0.07736202879003728,0.1,0.6
DyS,MoSS_MN,MoSS_Dir,0.9,0.11595826388506358,0.1,0.8
DyS,MoSS_MN,MoSS_Dir,0.9,0.018996421305109923,0.1,1.0
DyS,MoSS_MN,MoSS_Dir,0.25,0.09995544760595235,0.25,0.1
DyS,MoSS_MN,MoSS_Dir,0.75,0.09872638227438296,0.25,0.2
DyS,MoSS_MN,MoSS_Dir,0.5,0.13268111064906601,0.25,0.4
DyS,MoSS_MN,MoSS_Dir,0.5,0.433733673548839,0.25,0.6
DyS,MoSS_MN,MoSS_Dir,0.75,0.09900413860602375,0.25,0.8
DyS,MoSS_MN,MoSS_Dir,0.5,4.455239404765887e-05,0.25,1.0
DyS,MoSS_MN,MoSS_Dir,0.25,0.008781359000200883,0.5,0.1
DyS,MoSS_MN,MoSS_Dir,0.25,0.025604850775536647,0.5,0.2
DyS,MoSS_MN,MoSS_Dir,0.25,0.09278111671639144,0.5,0.4
DyS,MoSS_MN,MoSS_Dir,0.5,0.5999554476059523,0.5,0.6
DyS,MoSS_MN,MoSS_Dir,0.25,0.03509752500998364,0.5,0.8
DyS,MoSS_MN,MoSS_Dir,0.25,0.0034546378829809488,0.5,1.0
DyS,MoSS_MN,MoSS_Dir,0.0,0.09995544760595235,0.75,0.1
DyS,MoSS_MN,MoSS_Dir,0.0,0.08773538456544183,0.75,0.2
DyS,MoSS_MN,MoSS_Dir,0.0,0.04260006588655568,0.75,0.4
DyS,MoSS_MN,MoSS_Dir,0.0,0.13227004520086072,0.75,0.6
DyS,MoSS_MN,MoSS_Dir,0.0,0.011942763558750125,0.75,0.8
