Quantifier,MoSS Variant Test,MoSS Variant Train,MAE,m_test,m_train,alpha
DyS,MoSS,MoSS,0.08598995257613154,0.05,0.5,0.1
HDy,MoSS,MoSS,0.07,0.05,0.5,0.1
SORD,MoSS,MoSS,0.1,0.05,0.5,0.1
SMM,MoSS,MoSS,0.1,0.05,0.5,0.1
ACC,MoSS,MoSS,0.1,0.05,0.5,0.1
X_method,MoSS,MoSS,0.1,0.05,0.5,0.1
MAX,MoSS,MoSS,0.1,0.05,0.5,0.1
MS,MoSS,MoSS,0.1,0.05,0.5,0.1
MS2,MoSS,MoSS,0.1,0.05,0.5,0.1
CC,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_DyS,MoSS,MoSS,0.0006371100216428782,0.05,0.5,0.1
QuadaptMoSS_HDy,MoSS,MoSS,0.020000000000000004,0.05,0.5,0.1
QuadaptMoSS_SORD,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_SMM,MoSS,MoSS,0.030188928209664803,0.05,0.5,0.1
QuadaptMoSS_ACC,MoSS,MoSS,0.0036144578313253017,0.05,0.5,0.1
QuadaptMoSS_X_method,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_MAX,MoSS,MoSS,0.0018036072144288623,0.05,0.5,0.1
QuadaptMoSS_MS,MoSS,MoSS,0.0014084507042253502,0.05,0.5,0.1
QuadaptMoSS_MS2,MoSS,MoSS,0.005241935483870974,0.05,0.5,0.1
QuadaptMoSS_MN_DyS,MoSS,MoSS,0.03080652800166786,0.05,0.5,0.1
QuadaptMoSS_MN_HDy,MoSS,MoSS,0.020000000000000004,0.05,0.5,0.1
QuadaptMoSS_MN_SORD,MoSS,MoSS,0.060000000000000005,0.05,0.5,0.1
QuadaptMoSS_MN_SMM,MoSS,MoSS,0.1,0.05,0.5,0.1
QuadaptMoSS_MN_ACC,MoSS,MoSS,0.057777777777777775,0.05,0.5,0.1
QuadaptMoSS_MN_X_method,MoSS,MoSS,0.07399527186761229,0.05,0.5,0.1
QuadaptMoSS_MN_MAX,MoSS,MoSS,0.05862068965517242,0.05,0.5,0.1
QuadaptMoSS_MN_MS,MoSS,MoSS,0.04369369369369369,0.05,0.5,0.1
QuadaptMoSS_MN_MS2,MoSS,MoSS,0.04731669305984968,0.05,0.5,0.1
DyS,MoSS,MoSS,0.09291914965793766,0.05,0.5,0.1
HDy,MoSS,MoSS,0.07,0.05,0.5,0.1
SORD,MoSS,MoSS,0.1,0.05,0.5,0.1
SMM,MoSS,MoSS,0.1,0.05,0.5,0.1
ACC,MoSS,MoSS,0.1,0.05,0.5,0.1
X_method,MoSS,MoSS,0.1,0.05,0.5,0.1
MAX,MoSS,MoSS,0.1,0.05,0.5,0.1
MS,MoSS,MoSS,0.1,0.05,0.5,0.1
MS2,MoSS,MoSS,0.1,0.05,0.5,0.1
CC,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_DyS,MoSS,MoSS,0.0006593862186667077,0.05,0.5,0.1
QuadaptMoSS_HDy,MoSS,MoSS,0.020000000000000004,0.05,0.5,0.1
QuadaptMoSS_SORD,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_SMM,MoSS,MoSS,0.03239850606931055,0.05,0.5,0.1
QuadaptMoSS_ACC,MoSS,MoSS,0.00020040080160320384,0.05,0.5,0.1
QuadaptMoSS_X_method,MoSS,MoSS,0.0016064257028112483,0.05,0.5,0.1
QuadaptMoSS_MAX,MoSS,MoSS,0.00020040080160320384,0.05,0.5,0.1
QuadaptMoSS_MS,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_MS2,MoSS,MoSS,0.0018036072144288623,0.05,0.5,0.1
QuadaptMoSS_MN_DyS,MoSS,MoSS,0.035882220473005544,0.05,0.5,0.1
QuadaptMoSS_MN_HDy,MoSS,MoSS,0.03,0.05,0.5,0.1
QuadaptMoSS_MN_SORD,MoSS,MoSS,0.060000000000000005,0.05,0.5,0.1
QuadaptMoSS_MN_SMM,MoSS,MoSS,0.1,0.05,0.5,0.1
QuadaptMoSS_MN_ACC,MoSS,MoSS,0.04078947368421052,0.05,0.5,0.1
QuadaptMoSS_MN_X_method,MoSS,MoSS,0.05011337868480725,0.05,0.5,0.1
QuadaptMoSS_MN_MAX,MoSS,MoSS,0.048888888888888885,0.05,0.5,0.1
QuadaptMoSS_MN_MS,MoSS,MoSS,0.03598233995584989,0.05,0.5,0.1
QuadaptMoSS_MN_MS2,MoSS,MoSS,0.06355353075170843,0.05,0.5,0.1
DyS,MoSS,MoSS,0.07637083672213953,0.05,0.5,0.1
HDy,MoSS,MoSS,0.07,0.05,0.5,0.1
SORD,MoSS,MoSS,0.1,0.05,0.5,0.1
SMM,MoSS,MoSS,0.1,0.05,0.5,0.1
ACC,MoSS,MoSS,0.1,0.05,0.5,0.1
X_method,MoSS,MoSS,0.1,0.05,0.5,0.1
MAX,MoSS,MoSS,0.1,0.05,0.5,0.1
MS,MoSS,MoSS,0.1,0.05,0.5,0.1
MS2,MoSS,MoSS,0.1,0.05,0.5,0.1
CC,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_DyS,MoSS,MoSS,0.003200454382931789,0.05,0.5,0.1
QuadaptMoSS_HDy,MoSS,MoSS,0.024999999999999994,0.05,0.5,0.1
QuadaptMoSS_SORD,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_SMM,MoSS,MoSS,0.03362881765112671,0.05,0.5,0.1
QuadaptMoSS_ACC,MoSS,MoSS,0.00020040080160320384,0.05,0.5,0.1
QuadaptMoSS_X_method,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_MAX,MoSS,MoSS,0.0,0.05,0.5,0.1
QuadaptMoSS_MS,MoSS,MoSS,0.0036144578313253017,0.05,0.5,0.1
QuadaptMoSS_MS2,MoSS,MoSS,0.0018036072144288623,0.05,0.5,0.1
QuadaptMoSS_MN_DyS,MoSS,MoSS,0.01624715831521642,0.05,0.5,0.1
QuadaptMoSS_MN_HDy,MoSS,MoSS,0.024999999999999994,0.05,0.5,0.1
QuadaptMoSS_MN_SORD,MoSS,MoSS,0.060000000000000005,0.05,0.5,0.1
QuadaptMoSS_MN_SMM,MoSS,MoSS,0.1,0.05,0.5,0.1
QuadaptMoSS_MN_ACC,MoSS,MoSS,0.045701357466063346,0.05,0.5,0.1
QuadaptMoSS_MN_X_method,MoSS,MoSS,0.046428571428571416,0.05,0.5,0.1
QuadaptMoSS_MN_MAX,MoSS,MoSS,0.041309255079006776,0.05,0.5,0.1
QuadaptMoSS_MN_MS,MoSS,MoSS,0.038636363636363635,0.05,0.5,0.1
QuadaptMoSS_MN_MS2,MoSS,MoSS,0.038053097345132736,0.05,0.5,0.1
DyS,MoSS,MoSS,0.07814340532221464,0.05,0.5,0.2
HDy,MoSS,MoSS,0.06,0.05,0.5,0.2
SORD,MoSS,MoSS,0.2,0.05,0.5,0.2
SMM,MoSS,MoSS,0.2,0.05,0.5,0.2
ACC,MoSS,MoSS,0.2,0.05,0.5,0.2
X_method,MoSS,MoSS,0.2,0.05,0.5,0.2
MAX,MoSS,MoSS,0.2,0.05,0.5,0.2
MS,MoSS,MoSS,0.2,0.05,0.5,0.2
MS2,MoSS,MoSS,0.2,0.05,0.5,0.2
CC,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_DyS,MoSS,MoSS,0.0015934563127050771,0.05,0.5,0.2
QuadaptMoSS_HDy,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_SORD,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_SMM,MoSS,MoSS,0.027012922439675097,0.05,0.5,0.2
QuadaptMoSS_ACC,MoSS,MoSS,0.0016032064128256585,0.05,0.5,0.2
QuadaptMoSS_X_method,MoSS,MoSS,0.0012048192771084432,0.05,0.5,0.2
QuadaptMoSS_MAX,MoSS,MoSS,0.0004008016032064077,0.05,0.5,0.2
QuadaptMoSS_MS,MoSS,MoSS,0.0004008016032064077,0.05,0.5,0.2
QuadaptMoSS_MS2,MoSS,MoSS,0.0004008016032064077,0.05,0.5,0.2
QuadaptMoSS_MN_DyS,MoSS,MoSS,0.017192831786298157,0.05,0.5,0.2
QuadaptMoSS_MN_HDy,MoSS,MoSS,0.010000000000000009,0.05,0.5,0.2
QuadaptMoSS_MN_SORD,MoSS,MoSS,0.04000000000000001,0.05,0.5,0.2
QuadaptMoSS_MN_SMM,MoSS,MoSS,0.1910262961678585,0.05,0.5,0.2
QuadaptMoSS_MN_ACC,MoSS,MoSS,0.030022075055187614,0.05,0.5,0.2
QuadaptMoSS_MN_X_method,MoSS,MoSS,0.041269841269841234,0.05,0.5,0.2
QuadaptMoSS_MN_MAX,MoSS,MoSS,0.021266968325791863,0.05,0.5,0.2
QuadaptMoSS_MN_MS,MoSS,MoSS,0.03371298405466969,0.05,0.5,0.2
QuadaptMoSS_MN_MS2,MoSS,MoSS,0.028888888888888853,0.05,0.5,0.2
DyS,MoSS,MoSS,0.08883828854737338,0.05,0.5,0.2
HDy,MoSS,MoSS,0.07500000000000001,0.05,0.5,0.2
SORD,MoSS,MoSS,0.2,0.05,0.5,0.2
SMM,MoSS,MoSS,0.2,0.05,0.5,0.2
ACC,MoSS,MoSS,0.2,0.05,0.5,0.2
X_method,MoSS,MoSS,0.2,0.05,0.5,0.2
MAX,MoSS,MoSS,0.2,0.05,0.5,0.2
MS,MoSS,MoSS,0.2,0.05,0.5,0.2
MS2,MoSS,MoSS,0.2,0.05,0.5,0.2
CC,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_DyS,MoSS,MoSS,0.00021708536778386467,0.05,0.5,0.2
QuadaptMoSS_HDy,MoSS,MoSS,0.010000000000000009,0.05,0.5,0.2
QuadaptMoSS_SORD,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_SMM,MoSS,MoSS,0.028354178516147938,0.05,0.5,0.2
QuadaptMoSS_ACC,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_X_method,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_MAX,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_MS,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_MS2,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_MN_DyS,MoSS,MoSS,0.027162030911437818,0.05,0.5,0.2
QuadaptMoSS_MN_HDy,MoSS,MoSS,0.0050000000000000044,0.05,0.5,0.2
QuadaptMoSS_MN_SORD,MoSS,MoSS,0.04000000000000001,0.05,0.5,0.2
QuadaptMoSS_MN_SMM,MoSS,MoSS,0.1930091022494976,0.05,0.5,0.2
QuadaptMoSS_MN_ACC,MoSS,MoSS,0.023529411764705854,0.05,0.5,0.2
QuadaptMoSS_MN_X_method,MoSS,MoSS,0.03445190156599551,0.05,0.5,0.2
QuadaptMoSS_MN_MAX,MoSS,MoSS,0.03146067415730333,0.05,0.5,0.2
QuadaptMoSS_MN_MS,MoSS,MoSS,0.017567567567567582,0.05,0.5,0.2
QuadaptMoSS_MN_MS2,MoSS,MoSS,0.04134308085650365,0.05,0.5,0.2
DyS,MoSS,MoSS,0.07416885943729618,0.05,0.5,0.2
HDy,MoSS,MoSS,0.06,0.05,0.5,0.2
SORD,MoSS,MoSS,0.2,0.05,0.5,0.2
SMM,MoSS,MoSS,0.2,0.05,0.5,0.2
ACC,MoSS,MoSS,0.2,0.05,0.5,0.2
X_method,MoSS,MoSS,0.2,0.05,0.5,0.2
MAX,MoSS,MoSS,0.2,0.05,0.5,0.2
MS,MoSS,MoSS,0.2,0.05,0.5,0.2
MS2,MoSS,MoSS,0.2,0.05,0.5,0.2
CC,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_DyS,MoSS,MoSS,0.005367071825017833,0.05,0.5,0.2
QuadaptMoSS_HDy,MoSS,MoSS,0.010000000000000009,0.05,0.5,0.2
QuadaptMoSS_SORD,MoSS,MoSS,0.0,0.05,0.5,0.2
QuadaptMoSS_SMM,MoSS,MoSS,0.030082916387920072,0.05,0.5,0.2
